Symbole
MMM
AXP
AAPL
BA
CAT
CVX
CSCO
KO
DIS
XOM
GS
HD
IBM
INTC
JNJ
MCD
MRK
MSFT
NKE
PFE
PG
TRV
UTX
UNH
VZ
V
WMT
JPM
